two
bedroom
with
a
sky
terrace
and
operable
windows
facing
north
no
diagonals
completely
renovated
an
open
kitchen
stainless
steel
appliances
granite
counter
tops
maple
cabinets
master
closets
dressing
to
die
for
separate
bar
entertainment
area
outstanding
nothing
do
but
move
in
fabulous
condo
near
west
side
sf
residence
features
bed
bath
hardwood
floors
bright
living
room
fireplace
eating
table
space
spacious
bedrooms
balcony
close
everything
owner
occupants
eligible
home
warranty
incentive
must
request
on
initial
offer
homesteps
financing
is
available
see
attached
flyer
details
public
act
may
apply
cash
only
hoa
best
around
custom
cabinetry
back
splash
pergo
flooring
can
lighting
all
less
than
years
old
bathroom
jetted
tub
double
sinks
built
shelving
pottery
barn
colors
the
hw
heater
yrs
furnace
central
air
hvac
system
yr
shared
free
laundry
basement
storage
parking
gorg
restored
facade
new
construction
from
front
door
ft
wide
deep
lot
huge
yard
levels
ceilings
seventy
flood
this
xtra
w
light
fam
hang
out
rms
mdrms
lndry
semi
opportunity
pick
ktchn
bth
finishes
luxe
design
team
of
soucie
horner
bdrms
bths
hangout
spc
nd
level
more
ll
top
flr
lofted
breathtaking
fl
last
unit
chi
assoc
realtor
s
good
neighbor
award
winner
br
ba
bonus
computer
nook
family
off
rear
cooktop
ovens
center
island
overlooking
lrg
patio
beautifully
grand
staircase
well
each
n
e
exp
french
doors
jack
jill
walk
pantry
crown
molding
rope
amazing
oversized
x
absolutely
gorgeous
historic
pullman
architect
solon
spencer
beman
own
estate
located
heart
kenwood
fantastic
tree
lined
street
untouched
vintage
original
woodwork
period
fixtures
leaded
glass
woodburning
fireplaces
baths
beautiful
incredible
layout
house
has
systems
one
kind
gardens
large
garden
benches
sidewalk
mature
trees
flowers
private
there
car
garage
extra
outdoor
spaces
driveway
blocks
president
brick
ranch
steps
park
ridge
dining
gigantic
finished
second
half
plenty
etra
garg
lathe
plaster
roof
chimney
liner
ago
covered
porch
so
much
come
look
over
fur
hwh
offers
decks
inside
eat
knotty
pine
awaits
your
finishing
touches
condition
bring
you
are
set
enjoy
those
summer
nights
totally
fenced
some
updating
needed
bones
magnolia
square
washer
dryer
hookup
sold
as
agent
remarks
buyers
inspection
show
proof
funds
purchase
sight
