5,4
5,4
5,1
15,12
15,10
5,3
15,10
15,5
5,3
5,2
5,4
5,3
10,8
30,22
10,6
5,4
5,3
5,4
445,271
5,4
10,7
5,4
5,5
15,13
50,37
5,4
15,7
20,13
10,6
10,8
5,3
80,46
15,12
75,49
25,19
5,3
5,3
10,7
10,6
20,14
5,3
5,4
5,1
15,11
5,3
5,3
85,66
35,26
25,20
5,2
5,4
20,17
5,2
10,8
10,9
5,3
5,5
5,5
5,4
10,8
115,84
5,3
10,5
5,5
5,5
5,4
5,4
5,3
5,4
300,185
5,2
5,2
45,33
35,30
5,4
5,1
535,340
5,5
5,1
30,17
10,6
5,4
5,3
5,4
100,68
5,3
5,3
5,5
5,1
5,5
10,7
30,25
5,5
10,7
5,4
5,3
45,32
10,8
10,9
5,2
5,2
20,17
65,47
5,3
5,4
5,5
10,7
35,25
5,2
5,5
55,35
5,3
5,4
5,1
5,2
15,14
30,20
5,5
5,4
5,4
25,19
10,7
10,10
5,4
65,54
15,9
30,22
5,3
155,113
705,344
5,3
130,101
5,4
5,3
140,84
25,23
5,5
60,41
15,13
10,6
20,17
5,4
5,3
5,5
5,3
5,4
70,52
5,2
5,5
5,4
5,3
5,3
5,5
25,18
5,3
15,10
15,5
5,2
25,12
5,4
70,54
10,6
5,4
5,5
10,8
30,20
5,2
5,2
5,5
5,2
30,19
5,4
5,2
5,2
15,7
5,2
65,59
10,6
40,29
